square_keywhiz,1
square_moshi,0
square_okhttp,1
square_otto,1
square_retrofit,0
square_wire,1
sryza_spark-timeseries,1
stanford-futuredata_macrobase,0
stephanenicolas_robospice,1
stuxuhai_jpinyin,1
TakahikoKawasaki_nv-websocket-client,1
takari_maven-wrapper,0
tchoulihan_torrenttunes-client,0
thinkaurelius_titan,0
thinkgem_jeesite,0
thymeleaf_thymeleaf,1
tomighty_tomighty,0
toolbox4minecraft_amidst,1
TooTallNate_Java-WebSocket,0
twitter_distributedlog,0
undertow-io_undertow,0
VerbalExpressions_JavaVerbalExpressions,1
vert-x3_vertx-examples,1
wildfly_wildfly,0
xetorthio_jedis,0
xpqiu_fnlp,0
xtuhcy_gecco,0
yahoo_CaffeOnSpark,1
yusuke_twitter4j,1
zeromq_jeromq,0
zeroturnaround_zt-zip,0
zhangkaitao_es,1
zhegexiaohuozi_SeimiCrawler,0
zxing_zxing,1
